genus_species,crm_tree_id,scientific_name,common_name,size,priority,,,,,,,,,,,,,,
Cercis canadensis var. texensis,a0o1I000001VW9UQAW,Cercis canadensis var. texensis - Oklahoma,"Redbud, Oklahoma",Small Tree,FALSE,,,,,,,,,,,,,,
Cercis chinensis,a0o1I000001VWCgQAO,Cercis chinensis - Bubblegum,"Redbud, Chinese Bubblegum",Small Tree,FALSE,,,,,,,,,,,,,,
Chamaecyparis obtusa,a0o1I000001VWEnQAO,Chamaecyparis obtusa,"Cypress, Hinoki",Large Tree,FALSE,,,,,,,,,,,,,,
Chamaecyparis thyoides,a0o1I000001VW9VQAW,Chamaecyparis thyoides,"Cypress, White",Large Tree,FALSE,,,,,,,,,,,,,,
Chionanthus retusus,a0o1I000001VW9WQAW,Chionanthus retusus,"Fringetree, Chinese",Small Tree,FALSE,,,,,,,,,,,,,,
Chionanthus virginicus,a0o1I000001VW9XQAW,Chionanthus virginicus,Fringetree,Small Tree,FALSE,,,,,,,,,,,,,,
Cladrastis lutea (kentukea),a0o1I000001VW9YQAW,Cladrastis lutea (kentukea),"Yellowwood, American",Medium Tree,TRUE,,,,,,,,,,,,,,
Cladrastis lutea (kentukea),a0o1I000001VW9ZQAW,Cladrastis lutea (kentukea) - Perkins Pink,"Yellowwood, American Perkins Pink",Medium Tree,TRUE,,,,,,,,,,,,,,
Comptonia peregrina,a0o1I000001VWCIQA4,Comptonia peregrina,Sweetfern,shrub,FALSE,,,,,,,,,,,,,,
Cornus alternifolia,a0o1I000001VW9aQAG,Cornus alternifolia,"Dogwood, Pagoda",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus amomum,a0o1I000001VW9bQAG,Cornus amomum,"Dogwood, Silky",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VWDgQAO,Cornus florida - Cherokee Chief,"Dogwood, Flowering Cherokee Chief",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VWDlQAO,Cornus florida - Cloud Nine,"Dogwood, Flowering Cloud Nine",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VW9cQAG,Cornus florida,"Dogwood, Flowering",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VW9dQAG,Cornus florida - Appalachian Mist,"Dogwood, Flowering Appalachian Mist",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VW9eQAG,Cornus florida - Appalachian Spring,"Dogwood, Flowering Appalachian Spring",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VW9fQAG,Cornus florida - Cherokee Princess,"Dogwood, Flowering Cherokee Princess",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I000001VWChQAO,Cornus florida - Cherokee Brave,"Dogwood, Flowering Cherokee Brave",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida,a0o1I00000OOh2VQAT,Cornus florida - Constellation,"Dogwood, Constellation",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus florida var. rubra,a0o1I000001VW9gQAG,Cornus florida var. rubra,"Dogwood, Flowering Pink",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus kousa,a0o1I00000YHEghQAH,Cornus Kousa - Venus,"Dogwood, Kousa Venus",Small Tree,TRUE,,,,,,,,,,,,,,
Cornus kousa,a0o1I000001VW9hQAG,Cornus kousa,"Dogwood, Kousa",Small Tree,TRUE,,,,,,,,,,,,,,
